ETA,F,G
2.44,1.0007,0.0
2.46,1.00063,0.0
2.48,1.00056,0.0
2.5,1.00049,0.0
2.52,1.00043,0.0
2.54,1.00038,0.0
2.56,1.00033,0.0
2.58,1.00028,0.0
2.6,1.00024,0.0
2.62,1.0002,0.0
2.64,1.00017,0.0
2.66,1.00014,0.0
2.68,1.00011,0.0
2.7,1.00009,0.0
2.72,1.00006,0.0
2.74,1.00004,0.0
2.76,1.00002,0.0
2.78,1.00001,0.0
2.8,0.99999,0.0
2.82,0.99998,0.0
2.84,0.99996,0.0
2.86,0.99995,0.0
2.88,0.99994,0.0
2.9,0.99993,0.0
2.92,0.99993,-0.0
2.94,0.99992,-0.0
2.96,0.99991,-0.0
2.98,0.99991,-0.0
3.0,0.9999,-0.0
3.02,0.9999,-0.0
3.04,0.99989,-0.0
3.06,0.99989,-0.0
3.08,0.99989,-0.0
3.1,0.99989,-0.0
3.12,0.99989,-0.0
3.14,0.99989,-0.0
3.16,0.99989,-0.0
3.18,0.99989,-0.0
3.2,0.99989,-0.0
3.22,0.99989,-0.0
3.24,0.99989,-0.0
3.26,0.99989,-0.0
3.28,0.9999,-0.0
3.3,0.9999,-0.0
3.32,0.9999,-0.0
3.34,0.9999,-0.0
3.36,0.9999,-0.0
3.38,0.99991,-0.0
3.4,0.99991,-0.0
3.42,0.99991,-0.0
3.44,0.99991,-0.0
3.46,0.99992,-0.0
3.48,0.99992,-0.0
3.5,0.99992,-0.0
3.52,0.99993,-0.0
3.54,0.99993,-0.0
3.56,0.99993,-0.0
3.58,0.99993,-0.0
3.6,0.99994,-0.0
3.62,0.99994,-0.0
3.64,0.99994,-0.0
3.66,0.99995,-0.0
3.68,0.99995,-0.0
3.7,0.99995,-0.0
3.72,0.99995,-0.0
3.74,0.99996,-0.0
3.76,0.99996,-0.0
3.78,0.99996,-0.0
3.8,0.99997,-0.0
3.82,0.99997,-0.0
3.84,0.99997,-0.0
3.86,0.99997,-0.0
3.88,0.99998,-0.0
3.9,0.99998,-0.0
3.92,0.99998,-0.0
3.94,0.99999,-0.0
3.96,0.99999,-0.0
3.98,0.99999,-0.0
4.0,1.0,-0.0
4.02,1.0,-0.0
4.04,1.0,-0.0
4.06,1.00001,-0.0
4.08,1.00001,-0.0
4.1,1.00001,-0.0
4.12,1.00002,-0.0
4.14,1.00002,-0.0
4.16,1.00002,-0.0
4.18,1.00003,-0.0
4.2,1.00003,-0.0
4.22,1.00003,-0.0
4.24,1.00004,-0.0
4.26,1.00004,-0.0
4.28,1.00004,-0.0
4.3,1.00005,-0.0
4.32,1.00005,-0.0
4.34,1.00005,-0.0
4.36,1.00006,-0.0
4.38001,1.00006,-0.0
4.40001,1.00006,0.0
4.42001,1.00006,0.0
4.44001,1.00006,0.0
4.46001,1.00006,0.0
4.48001,1.00006,0.0
4.50001,1.00005,0.0
4.52001,1.00005,0.0
4.54001,1.00005,0.0
4.56001,1.00005,0.0
4.58001,1.00005,0.0
4.60001,1.00005,0.0
4.62001,1.00004,0.0
4.64001,1.00004,0.0
4.66001,1.00004,0.0
4.68001,1.00004,0.0
4.70001,1.00004,0.0
4.72001,1.00003,0.0
4.74001,1.00003,0.0
4.76001,1.00003,0.0
4.78001,1.00003,0.0
4.80001,1.00003,0.0
4.82002,1.00002,0.0
4.84002,1.00002,0.0
4.86002,1.00002,0.0
4.88002,1.00002,0.0
4.90002,1.00001,0.0
4.92002,1.00001,0.0
4.94002,1.00001,0.0
4.96002,1.00001,0.0
4.98002,1.0,0.0
5.00002,1.0,0.0
